source,target,population,weight
CN,ky_Arab,470000,0.00034
CN,nxq,330000,0.00024
CN,khb,260000,0.00019
CN,tdd,260000,0.00019
CN,lcp,80000,0.00006
CN,en,62000,0.00005
CN,ru,14000,0.00001
CN,vi,6900,0.00001
CX,en,1400,0.63000
CP,und,1,1.00000
CC,ms_Arab,490,0.83000
CC,en,100,0.17000
CO,es,45000000,0.93000
CO,guc,130000,0.00270
KM,ar,540000,0.66000
KM,fr,460000,0.56000
KM,zdj,300000,0.37000
KM,wni,280000,0.34000
CG,fr,4300000,0.84000
CG,ln,120000,0.02400
CD,sw,43000000,0.50000
CD,lua,8200000,0.09600
CD,fr,3200000,0.03800
CD,ln,2600000,0.03100
CD,lu,2000000,0.02300
CD,kg,1300000,0.01500
CD,lol,520000,0.00610
CD,rw,320000,0.00380
CK,en,8900,0.98000
CR,es,4700000,0.95000
CI,fr,13000000,0.49000
CI,bci,2900000,0.11000
CI,sef,1100000,0.04300
CI,dnj,1100000,0.04000
CI,kfo,60000,0.00230
CI,bqv,45000,0.00170
HR,hr,4200000,0.99000
HR,en,2100000,0.49000
HR,it,68000,0.01600
CU,es,11000000,1.00000
CW,pap,120000,0.81000
CW,nl,12000,0.08000
CW,es,5700,0.03800
CY,el,1200000,0.95000
CY,en,900000,0.73000
CY,tr,280000,0.23000
CY,fr,87000,0.07000
CY,hy,2700,0.00220
CY,ar,1400,0.00110
CZ,cs,10000000,0.98000
CZ,en,2900000,0.27000
CZ,sk,1700000,0.16000
CZ,de,1600000,0.15000
CZ,pl,52000,0.00490
DK,da,5400000,0.93000
DK,en,5000000,0.86000
DK,de,2700000,0.47000
DK,sv,760000,0.13000
DK,fo,22000,0.00380
DK,kl,7000,0.00120
DG,en,500,0.99000
DJ,aa,370000,0.42000
DJ,so,360000,0.41000
DJ,ar,65000,0.07300
DJ,fr,19000,0.02100
DM,en,70000,0.94000
DO,es,8000000,0.78000
DO,en,8000,0.00078
EC,es,16000000,0.96000
EC,qu,2800000,0.17000
EC,qug,940000,0.05700
EG,ar,93000000,0.94000
EG,arz,64000000,0.64000
EG,en,35000000,0.35000
EG,el,61000,0.00061
SV,es,5500000,0.89000
GQ,es,690000,0.87000
GQ,fan,410000,0.51000
GQ,fr,70000,0.08800
GQ,bvb,63000,0.07900
ER,ti,3600000,0.60000
ER,en,3500000,0.59000
ER,tig,1100000,0.18000
ER,ar,290000,0.04900
ER,aa,210000,0.03600
ER,ssy,210000,0.03600
ER,byn,78000,0.01300
EE,et,880000,0.71000
EE,ru,700000,0.56000
EE,en,620000,0.50000
EE,fi,260000,0.21000
EE,vro,71000,0.05700
SZ,en,870000,0.80000
SZ,ss,630000,0.58000
SZ,zu,74000,0.06800
SZ,ts,18000,0.01700
ET,en,47000000,0.43000
ET,am,36000000,0.33000
ET,om,35000000,0.32000
ET,so,6500000,0.06000
ET,ti,6500000,0.06000
ET,sid,3800000,0.03500
ET,wal,2000000,0.01800
ET,aa,1500000,0.01400
FK,en,2800,0.88000
FO,fo,48000,0.95000
FJ,en,870000,0.94000
FJ,hi,410000,0.44000
FJ,hif,380000,0.41000
FJ,fj,360000,0.39000
FJ,rtm,2500,0.00270
FI,fi,5200000,0.94000
FI,en,3900000,0.70000
FI,sv,2400000,0.44000
FI,de,1000000,0.18000
FI,ru,45000,0.00810
FI,et,6100,0.00110
FI,rmf,5000,0.00090
FI,se,2000,0.00036
FI,smn,610,0.00011
FI,sms,610,0.00011
FR,fr,67000000,0.99000
FR,en,26000000,0.39000
FR,es,8800000,0.13000
FR,de,3400000,0.05000
FR,oc,2000000,0.03000
FR,it,1100000,0.01700
FR,pt,880000,0.01300
FR,pcd,740000,0.01100
FR,gsw,610000,0.00910
FR,br,560000,0.00830
FR,co,160000,0.00240
FR,ca,110000,0.00170
FR,eu,88000,0.00130
FR,nl,88000,0.00130
FR,frp,63000,0.00094
GF,fr,150000,0.77000
GF,gcr,52000,0.26000
GF,zh_Hant,5000,0.02500
PF,fr,180000,0.61000
PF,ty,90000,0.31000
PF,zh_Hant,23000,0.07800
GA,fr,1300000,0.63000
GA,puu,190000,0.09000
GM,en,840000,0.40000
GM,man,610000,0.29000
GE,ka,4200000,0.86000
GE,xmf,540000,0.11000
GE,ru,440000,0.09000
GE,hy,340000,0.07000
GE,ab,110000,0.02200
GE,os,110000,0.02200
GE,ku,44000,0.00890
DE,de,73000000,0.91000
DE,en,51000000,0.64000
DE,fr,14000000,0.18000
DE,bar,14000000,0.17000
DE,nds,9700000,0.12000
DE,nl,7200000,0.09000
DE,it,5600000,0.07000
DE,es,4800000,0.06000
DE,ru,4800000,0.06000
DE,vmf,4800000,0.06000
DE,tr,2000000,0.02500
DE,gsw,1900000,0.02300
DE,da,1600000,0.02000
DE,swg,800000,0.01000
DE,hr,640000,0.00790
DE,ku,530000,0.00660
DE,el,310000,0.00380
DE,ksh,240000,0.00300
DE,pl,230000,0.00290
DE,hsb,13000,0.00016
DE,frr,9700,0.00012
DE,dsb,7000,0.00009
DE,frs,2000,0.00003
DE,stq,970,0.00001
GH,ak,11000000,0.39000
GH,en,5900000,0.21000
GH,ee,3100000,0.11000
GH,abr,1400000,0.05000
GH,gur,980000,0.03500
GH,ada,840000,0.03000
GH,gaa,790000,0.02800
GH,nzi,280000,0.01000
GH,ha,240000,0.00870
GH,saf,3900,0.00014
GI,en,24000,0.80000
GI,es,15000,0.50000
GR,el,11000000,0.99000
GR,en,5500000,0.51000
GR,fr,970000,0.09000
GR,de,540000,0.05000
GR,pnt,400000,0.03700
GR,mk,170000,0.01600
GR,tr,130000,0.01200
GR,bg,29000,0.00270
GR,sq,10000,0.00093
GR,tsd,200,0.00002
GL,kl,48000,0.84000
GL,da,8100,0.14000
GD,en,110000,0.96000
GP,fr,410000,0.90000
GU,en,150000,0.91000
GU,ch,37000,0.22000
GT,es,15000000,0.93000
GT,quc,1200000,0.07000
GG,en,67000,1.00000
GN,fr,3400000,0.29000
GN,ff,3100000,0.26000
GN,man_Nkoo,2700000,0.23000
GN,sus,1300000,0.11000
GN,nqo,590000,0.05000
GN,kpe,450000,0.03800
GW,pt,1800000,1.00000
GW,knf,48000,0.02600
GY,en,740000,1.00000
HT,ht,8700000,0.81000
HT,fr,510000,0.04700
HM,und,1,1.00000
HN,es,7200000,0.78000
HN,en,40000,0.00440
HK,zh_Hant,6900000,0.95000
HK,yue,6500000,0.90000
HK,en,3700000,0.51000
HK,zh,360000,0.05000
HU,hu,9800000,1.00000
HU,en,2000000,0.20000
HU,de,1800000,0.18000
HU,fr,290000,0.03000
HU,ro,97000,0.00990
HU,hr,31000,0.00320
HU,sk,11000,0.00110
HU,sl,5000,0.00051
IS,is,340000,1.00000
IS,da,2200,0.00650
IN,hi,530000000,0.41000
IN,en,250000000,0.19000
IN,bn,110000000,0.08100
IN,te,93000000,0.07200
IN,mr,91000000,0.07000
IN,ta,77000000,0.05900
IN,ur,65000000,0.05000
IN,gu,58000000,0.04500
IN,kn,48000000,0.03700
IN,ml,41000000,0.03200
IN,or,41000000,0.03200
IN,pa,36000000,0.02800
IN,bho,30000000,0.02300
IN,awa,23000000,0.01800
IN,as,17000000,0.01300
IN,bgc,16000000,0.01200
IN,mag,16000000,0.01200
IN,mai,16000000,0.01200
IN,mwr,16000000,0.01200
IN,hne,14000000,0.01100
IN,dcc,13000000,0.01000
IN,bjj,7300000,0.00560
IN,ne,7300000,0.00560
IN,sat,7100000,0.00550
IN,wtm,6000000,0.00460
IN,rkt,5700000,0.00440
IN,ks,5300000,0.00410
IN,kok,4800000,0.00370
IN,gom,4100000,0.00320
IN,swv,3600000,0.00280
IN,gbm,3500000,0.00270
IN,lmn,3500000,0.00270
IN,sd,3400000,0.00260
IN,gon,3100000,0.00240
IN,kfy,2900000,0.00220
IN,doi,2600000,0.00200
IN,kru,2500000,0.00190
IN,sck,2300000,0.00180
IN,xnr,2100000,0.00160
IN,khn,1900000,0.00150
IN,tcy,1900000,0.00150
IN,wbr,1900000,0.00150
IN,brx,1800000,0.00140
IN,noe,1700000,0.00130
IN,bhb,1600000,0.00120
IN,mni,1400000,0.00110
IN,hoc,1300000,0.00100
IN,raj,1300000,0.00100
IN,mtr,1300000,0.00098
IN,unr,1200000,0.00094
IN,bhi,1200000,0.00092
IN,hoj,1100000,0.00082
IN,kha,1000000,0.00080
IN,kfr,970000,0.00075
IN,grt,690000,0.00053
IN,unx,620000,0.00048
IN,bfy,480000,0.00037
IN,srx,450000,0.00035
IN,saz,380000,0.00029
IN,ccp,360000,0.00028
IN,sd_Deva,340000,0.00026
IN,bfq,300000,0.00023
IN,njo,300000,0.00023
IN,ria,170000,0.00013
IN,bo,140000,0.00011
IN,bpy,88000,0.00007
IN,bft,80000,0.00006
IN,bra,53000,0.00004
IN,lep,45000,0.00004
IN,btv,34000,0.00003
IN,lif,34000,0.00003
IN,lah,32000,0.00003
IN,sa,16000,0.00001
IN,kht,9100,0.00001
ID,id,170000000,0.64000
ID,jv,89000000,0.34000
ID,su,32000000,0.12000
ID,mad,17000000,0.06300
ID,ms_Arab,12000000,0.04600
ID,min,7900000,0.03000
ID,bew,5500000,0.02100
ID,ban,4700000,0.01800
ID,bug,4200000,0.01600
ID,bjn,3900000,0.01500
ID,ace,3700000,0.01400
ID,sas,2500000,0.00970
ID,bbc,2400000,0.00920
ID,zh_Hant,2400000,0.00920
ID,mak,1900000,0.00730
ID,ljp,1800000,0.00690
ID,rej,1200000,0.00460
ID,gor,1100000,0.00410
ID,nij,970000,0.00370
ID,kge,840000,0.00320
ID,aoz,710000,0.00270
ID,kvr,370000,0.00140
ID,lbw,340000,0.00130
ID,gay,320000,0.00120
ID,rob,290000,0.00110
ID,mdr,240000,0.00092
ID,sxn,240000,0.00092
ID,sly,140000,0.00054
ID,mwv,63000,0.00024
